i,A,C,required_margin,required_argmin_y,stored_margin,stored_argmin_y,abs_margin_diff,abs_argmin_y_diff,num_check_points,d0,w0,pi0,d1,w1,pi1,d2,w2,pi2,d3,w3,pi3
79,1.8020312053571428,1.8018357142857142,0.0033468733419230734,2.723879153341814,0.0033468733419232954,2.723879153340775,2.220446049250313e-16,1.0391687510491465e-12,5,1.8174751,3.300461395997301,79,2.557935,0.0,79,2.675015475,0.0,79,2.784490575,0.242954394670203,79
80,1.8018357142857142,1.8016402232142856,0.0031892565669613404,2.7245303471145643,0.0031892565669611184,2.7245303471193374,2.220446049250313e-16,4.773070827468473e-12,5,1.8174751,3.3273632990275033,80,2.557935,0.0,80,2.675015475,0.0,80,2.784490575,0.2419604789838518,80
81,1.8016402232142856,1.801444732142857,0.003020608045342321,2.725182052277505,0.0030206080453425432,2.725182052274111,2.220446049250313e-16,3.3941738308840286e-12,5,1.8174751,3.354729905910091,81,2.557935,0.0,81,2.675015475,0.0,81,2.784490575,0.24095731467277443,81
82,1.801444732142857,1.8012492410714285,0.002840596522280414,2.725834269953296,0.002840596522280636,2.7258342699545763,2.220446049250313e-16,1.2803091919977305e-12,5,1.8174751,3.3825740505395996,82,2.557935,0.0,82,2.675015475,0.0,82,2.784490575,0.239944700387829,82
83,1.8012492410714285,1.80105375,0.0026488776416544457,2.726487001269221,0.0026488776416546678,2.726487001268745,2.220446049250313e-16,4.756195437494171e-13,5,1.8174751,3.4109090571455036,83,2.557935,0.0,83,2.675015475,0.0,83,2.784490575,0.23892242809011377,83
84,1.80105375,1.8008582589285713,0.0024450932896404876,2.727140247357238,0.0024450932896407096,2.7271402473590616,2.220446049250313e-16,1.823430295644357e-12,5,1.8174751,3.439748764353698,84,2.557935,0.0,84,2.675015475,0.0,84,2.784490575,0.2378902827533451,84
85,1.8008582589285713,1.8006627678571427,0.002228870898049573,2.727794009353981,0.002228870898049351,2.727794009353658,2.220446049250313e-16,3.228528555609955e-13,5,1.8174751,3.469107550694479,85,2.557935,0.0,85,2.675015475,0.0,85,2.784490575,0.23684804204964552,85
86,1.8006627678571427,1.8004672767857142,0.001999857116807169,2.7284482956625498,0.001999857116807169,2.728448295661555,0.0,9.947598300641403e-13,5,1.8174751,3.4990008331997027,86,2.557935,0.0,86,2.675015475,0.0,86,2.784490575,0.23579547270188064,86
87,1.8004672767857142,1.8002717857142856,0.0017575825951803847,0.8002717857142856,0.0017575825951803847,0.8002717857142856,0.0,0.0,5,1.8174751,3.529443261091241,87,2.557935,0.0,87,2.675015475,0.0,87,2.784490575,0.23473234300333737,87
88,1.8002717857142856,1.800076294642857,0.0015016582818980773,2.729758410860901,0.0015016582818980773,2.72975841086311,0.0,2.2088997297942115e-12,5,1.8174751,3.560451427969959,88,2.557935,0.0,88,2.675015475,0.0,88,2.784490575,0.2336584036818878,88
89,1.800076294642857,1.7998808035714284,0.001231645946791149,2.7304142487323357,0.001231645946791149,2.7304142487328518,0.0,5.160316618457728e-13,5,1.8174751,3.5920421605552075,89,2.557935,0.0,89,2.675015475,0.0,89,2.784490575,0.23257339968202329,89
90,1.7998808035714284,1.7996853124999999,0.0009470887129177097,2.7998808035714284,0.0009470887129177097,2.7998808035714284,0.0,0.0,5,1.8174751,3.624232978787654,90,2.557935,0.0,90,2.675015475,0.0,90,2.784490575,0.23147706678328803,90
91,1.7996853124999999,1.7994898214285713,0.0006475100490941355,2.7317274908526104,0.0006475100490941355,2.731727490851981,0.0,6.292744103575387e-13,5,1.8174751,3.6570421325571325,91,2.557935,0.0,91,2.675015475,0.0,91,2.784490575,0.2303691311594186,91
92,1.7994898214285713,1.7992943303571427,0.00022978079277002905,2.7994898214285713,0.00022978079277002905,2.7994898214285713,0.0,0.0,5,1.8174751,3.729416112289824,92,2.557935,0.0,92,2.675015475,0.0,92,2.7846860660714285,0.22834335639335027,93
93,1.7992943303571427,1.7990988392857141,0.00010841656771978792,0.7990988392857141,0.00010841656771978792,0.7990988392857141,0.0,0.0,5,1.8174751,3.685758649934113,93,2.557935,0.0,93,2.675015475,0.0,93,2.7842950839285714,0.22902506077608767,92
94,1.7990988392857143,1.7989033482142858,0.006312433639897641,2.741089561483628,0.006312433639897641,2.7410895614841255,0.0,4.973799150320701e-13,6,1.8174751,2.179178215080593,94,2.557935,0.0,94,2.706880519642857,0.06397602518619737,257,2.784490575,0.1994003341453323,94
95,1.7989033482142858,1.7987078571428572,0.006281484309367258,2.74163807909627,0.006281484309367036,2.7416380790943413,2.220446049250313e-16,1.928679438378822e-12,6,1.8174751,2.149498275726354,95,2.557935,0.0,95,2.7064895375,0.0670671388887652,256,2.784490575,0.19706739744010335,95
96,1.7987078571428572,1.7985123660714286,0.006243031737711124,2.7421827315843936,0.0062430317377113465,2.7421827315847325,2.220446049250313e-16,3.388400671155978e-13,6,1.8174751,2.120116579792215,96,2.557935,0.0,96,2.706098555357143,0.0701900510369522,255,2.784490575,0.19472569825490588,96
97,1.7985123660714286,1.798316875,0.00605124387645406,2.6866143971259886,0.006051243876453949,2.6866143971290284,1.1102230246251565e-16,3.0397906414236786e-12,6,1.8174751,2.628292425036879,97,2.557935,0.0,97,2.7209558767857143,0.04514547514502244,332,2.784490575,0.20374182396653182,97
