i,required_margin,required_argmin_y,num_check_points,stored_margin
134,0.005041087740983304772198036345797037144256560635944887794786797616921731894727077767169555,2.68088844082441643036707280788713687779813373567115307492525812908432397414078829372611978,6,0.005041087740983219
135,0.005068537307602198764395395461326666807904741324577348196043252808011254393207671462922279,2.68059491204591240405207674901410949420249461631428890923356024065421631372102743001624538,6,0.00506853730760215
136,0.005097344289585451110904238130940045430089320537907969099162311911782253462416930568837491,2.68029959376672881355708292970964243033320212772537991826749914902036574628842523123174908,6,0.005097344289585526
137,0.005127337816206974612543737883951341984946652222975383887385234973901864576728181567394936,2.68002020275739560415709432856235285379434573001707952975236221075249986594559996584840972,6,0.0051273378162072225
138,0.005158783800694041857747859602772622218729007720333107981592005873086826318635400528553573,2.67967587007762194397345058081193147984721115354439345533560087790543635740849496129816574,6,0.005158783800694122
139,0.005191685290287575065000894214557858238841668411552074332825051963192587863880378795127739,2.67938110605918553452561480310943329748498739040483696614172296078348618395263248621663578,6,0.005191685290287573
140,0.005226141210191084629619266903827459979292243389611998725091730100016471701619320926616603,2.67910029612897438314603715159856875886046064609148070666827919776923872947892323562080984,6,0.005226141210191049
141,0.005262184968766244497634850022361348756452830823666774046271998304286265177279966742842557,2.76757530489002438449820621765197506965777345364469753018992455711557912492523701822839594,6,0.005262184968765515
142,0.005290355676122023130374692639689024531242061504768582801078310182937955553662598538682954,2.76813123853588961916238928629077290718076982068861504741348155636903302939780299200431018,6,0.005290355676121461
143,0.005303902750375215804254207845056927753719604449416535326160453615110253297172352699925827,2.76868917183111965183700348778064023918586654772708002012032873504023551414443067549536624,6,0.005303902750374734
144,0.005301451834276787834519757153759572178190434063508324016359392193523792918613462296500691,2.67336433885727914692602741329330018993839155801590958120384697932850012558652998894419848,6,0.005301451834276771
145,0.005281503507853635586926754146241515328803493010390226052286316504537053374486226210418741,2.67146797790011782701600893689839560458376365473681057185891761745929556936360310421435066,6,0.005281503507853613
146,0.005242398397204625125105193305880898894756477094807386603805972252322983510772243338175772,2.66950422075396562231988021510868993583880103231138991262626853084642741602501367236588818,6,0.0052423983972047505
147,0.005182312865322870015373453249659598734283876077675261711794767613936834217228033802364196,2.77094525057231056843604481002663883866528029777524567231753268360358845690006615844696334,6,0.005182312865322114
148,0.005099229033749142057580035311302652873301747479081603161598858833555842301844148147624002,2.77151645519740206323683754540466055349968469048623916574852906156651207408637144948133918,6,0.00509922903374882
149,0.004990907390008528554830926256433946351433128705511468074076739298285304558564667582550986,2.66315728972552757630327732191566067708499563859509560530597672649862519681585124084690962,6,0.004990907390008625
150,0.004854802543135882092168207657988424659285595002682750719181295363205623827443035698116305,2.66086983934915425881316840122329650840834332512895854857679873027928689386479871321182224,6,0.004854802543135861
151,0.004702317847938143471470388155079054807870305263316430378983088569384860015659648960774397,2.66035292848453782481320996587179231413675026505968817254143587296338313987760039989039006,6,0.0047023178479380645
152,0.004550816650196421586810978363092872261916971202199390325634578376206187398963650574721180,2.66011507948442448419471933544563796660565423158559299808994202264892311266866450334983958,6,0.004550816650196521
153,0.004400330361843120726809642911785700732800076040141494226517165059437831993376052876107707,2.77295588589803735289151633274785449087220879484628998924010056731387824588409010696101974,6,0.004400330361842508
154,0.004250910123301145774202942874027725995275435813347217331380240620041725856220185218759113,2.65943372556216104939174889958215284561943729434277754473849699008377960725750418667318094,6,0.004250910123301255
155,0.004102470115426073328272589463018726897619966408252488929030835059293796559593682118800072,2.77308554039824843840273784425960416224450521623413302924675920064830281252571206453569180,6,0.004102470115425527
156,0.003955086394507755636155747184269810109358529581342166890009321785689605031995659265098972,2.65876362344877892259575842287453656020440551503643443630389552751342550980537734056061728,6,0.003955086394507923
